EIN,Organization Name
411974262,AFFINITY PLUS FEDERAL CREDIT UNION FOUNDATION
416038562,THE W R HOTCHKISS FOUNDATION
416045814,ELY-WINTON HOSPITAL ASSOCIATION SCHOLARSHIP FUND TRUST
421368808,RINO AND RUTH DELLAVEDOVA SCHOLARSHIP TRUST
461415552,LINCOLN HEIGHTS ALUMNI SCHOLARSHIP FUND
461723396,UMSIZI FUND
464612008,ARTHUR M PETERS FAMILY SCHOLARSHIP FUND 47F108014
465382571,BEEMOK FAMILY FOUNDATION
465452276,TRIPP HEALY FOUNDATION
466235199,VELMA A DENNY SCHOLARSHIP TR
470661404,LEONARD & LEWISE FOREMAN KIMBALL COUNTY SCHOLARSHIP FUND
470993488,1 FOR 2 EDUCATION FOUNDATION
471679188,PEELE PLATFORM INC
473885242,ANDIS FOUNDATION INC
475603437,MARLENE A SMITH FOUNDATION
476194021,THE HAWKS FOUNDATION
476525342,ANNA M MACRAE SCHOLARSHIP TRUST
476638866,RPH SCHOOL OF NURSING SCHOLARSHIP TR GIVEN BY THE LINDERMAN-MCGLEN
510158963,NATHAN F & EDNA L PERRY SCHOLARSHIP
510172011,OTTO VILLWOCK MEDICAL EDUCATIONAL SCHOLARSHIP FUND
510180046,CAROL E MACPHERSON MEMORIAL SCHOLARSHIP FUND INC
522316579,NHHS ALUMNI INC
510602145,W J JANSZEN JR-CMC EDUCATIONAL TR
521901554,ESTONIAN-REVELIA ACADEMIC FUND INC
522135767,MARYLAND-DELAWARE-DC PRESS FOUNDATION INC
526489401,M EDDIE MOORE SCHOLARSHIP TRUST
541643750,ALL SAINTS SCHOLARSHIP FUND
541658362,THE W C ENGLISH SCHOLARSHIP FOUNDATION
541669283,SCOTT & STRINGFELLOW EDUCATIONAL FOUNDATION
541727339,STRASBURG COMMUNITY SCHOLARSHIP TRUST FUND INC
541922206,GANG FAMILY FOUNDATION
541945504,MARIE A DORNHECKER FOUNDATION
546405104,EARLE J SCHLARB SCHOLARSHIP TRUST
546503829,WILLIAM BOWEN COPP & GRAYDON S COPP AGRICULTURE EDUCATION TR
550709058,ARTHURS ENTERPRISES INC SCHOLARSHIP FOUNDATION
556096793,CHARLES L & ANNA N GAULT SCHOLARSHIP FUND
561941869,HELEN S AND JULIUS L GOLDMAN SCHOLARSHIP FUND INC
562048446,PATRICK BEAVER SCHOLARSHIP FOUNDATION INC
566093510,COATS NORTH AMERICAN EDUCATIONAL FOUNDATION
566486563,ALTON BRIDGERS MEMORIAL SCHOLARSHIP TR
566650052,EDMUND H LONG AND BLANCHE LONG TR
576207750,DORIS BANKS HENRIES SCHOLARSHIP TRUST UW LT0029
610999505,ALBERT L THOMAS AND HAZEL A THOMAS MEMORIAL SCHOLARSHIP TRUST
611163331,HELEN K CARNEY SCHOLARSHIP FUND
611417298,TERRELL H DUNNAVANT SCHOLARSHIP FUND INC
611467176,LOLA G DUFF & WILLIAM DUFF II SCHOLARSHIP FUND
616019485,ELIZABETH BRECKINRIDGE SCHOLARSHIP FUND TRUST
626398586,WILLIAM M BLANKENSHIP & ADAM JUSTICE MEMORIAL SCHOLARSHIP FUND
710965198,DAVID JAMES PROHASKA SCHOLARSHIP FOUNDATION
726118421,VERNA LILLY DODD SCHOLARSHIP TRUST 3601045300
742256469,FAY T BARNES SCHOLARSHIP FUND
752744096,PIPE LINE CONTRACTORS ASSOCIATION SCHOLARSHIP FOUNDATION
800922200,ASCUAGA CHARITABLE FOUNDATION 040017519200
806262696,GLADYS GERRITY SCHOLARSHIP TR
810515266,SUHR FAMILY MEMORIAL SCHOLARSHIP FUND
810587182,KELLOGG PROGRAMS INC
814136868,JACOB DAVIDSON MEMORIAL SCHOLARSHIP FOUNDATION INC
814784235,DAVIS H ELLIOT COMPANY EDUCATIONAL FOUNDATION
814933506,NUFFIELD INTERNATIONAL FARMING SCHOLARSHIPS- U S A ASSOCIATE INC
816045912,FRED & MARIE BARNARD SCHOLARSHIP FUND
816087202,ANNE BENSON SCHOLARSHIP TRUST FUND
816502178,CHARLES ZANE EMANUEL EDUCATION SCHOLARSHIP TR FUND
833109542,A ORLEN BRACH AND BARBARA BRACH WARD SCHOLARSHIP FUND
834301657,A BULLDOG COLLEGE DREAM SCHOLARSHIP NFP
836164562,ROZ PATTON SCHOLARSHIP TRUST
836353356,FLOWER UNIVERSITY OF ILLINOIS SCHOLARSHIP TR
852250531,WALTER H BEERS AND DORRIS ANN BEERS PRIVATE FOUNDATION
856536903,SUSAN TERRY FOLEY MEMORIAL SCHOLARSHIP FUND
861446609,JACK G BLACK SR FOUNDATION
866678367,BINGHAM FAMILY CHARITABLE TR
866314082,RACHEL S MACKENZIE SCHOLARSHIP FUND
866709505,INUA TR
871686839,FALCON FOUNDATION
873373390,UPPER ARLINGTON OPTIMIST CLUB SCHOLARSHIP AND CIVIC FUND
873568395,NESTLE SCHOLARSHIP FOUNDATION
874078953,PETERMAN SCHOLARSHIP FUND
876609740,CLAPPER SCHOLARSHIP FUND
881454869,SANDRA DENISE HILL MEMORIAL SCHOLARSHIP
882563838,ROBBINS FOUNDATION
900246585,RAY & RUTH DRAKE SCHOLARSHIP FUND OAG 05-36581055224003
916312239,FERNDALE BAND MEMBER SCHOLARSHIP FOUNDATION
916564202,AITKENHEAD MEMORIAL SCHOLARSHIP TR
916565775,JESSIE MAY RIGGS STUDENT SCHOLARSHIP FUND 050007410700
916566234,JOSEPH S BALL KLAMATH SCHOLARSHIP INTERVIVOS TR FUND 050007411300
916569191,ELWELL-COLVIN SCHOLARSHIP FUND
916570706,R MACKENZIE ATHLETIC SCHOLARSHIP TR
871134196,KL SCHOLARSHIP PRIVATE FOUNDATION INC
882340135,NACHA MENDEZ SCHOLARSHIP FOR NEW MEXICAN GIRLS OF COLOR
930765047,OREGON ASSOCIATION OF PUBLIC ACCOUNTANTS SCHOLARSHIP FOUNDATION
936023726,GEORGIA-PACIFIC FOUNDATION
936178135,ELDA WASHER SCHOLARSHIP FUND
936311484,GERALDINE BAGLEY EDUCATION TRUST
942747657,JACK A HARRIS MEMORIAL SCHOLARSHIP FUND
943265060,CHRYSOPOLAE FOUNDATION
946067623,BOYE SCHOLARSHIP TRUST
946069688,GEORGE GROTEFEND SCHOLARSHIP FUND
946123913,STERLING REDMAN TRUST
946129111,SACRAMENTO ASSOCIATION OF REALTORS SCHOLARSHIP FOUNDATION TRUST
946293818,CENTRAL VALLEY HIGH SCHOOL SCHOLARSHIP FUND
946700587,C E TOWNE SCHOLARSHIP FUND 627
946720523,ELVA & WARREN HORNSBY SCHOLARSHIP FUND
946725361,RAYMOND A TICE SCHOLARSHIP TR 062896
953820054,HEFFLEFINGER SCHOLARSHIP FUND
954525543,ANN WELCH PEARSON SCHOLARSHIP FDN FOR EDUCATIONAL EXCELLENCE
954583564,WHITTIER LIONS FOUNDATION
954709973,STRATTON-PETIT FOUNDATION
954755672,THE RODDENBERRY FOUNDATION
981671042,MUSE FOUNDATION
990268061,HARRIET BOUSLOG LABOR SCHOLARSHIP FUND
990600370,FUKUNAGA SCHOLARSHIP FOUNDATION
996003339,IDA M POPE MEMORIAL SCHOLARSHIP FUND
996082996,RICHARD & ELEANOR IMAI SHIN BUDDHIS SCHOLARSHIP CHARITABLE FOUNDATION
411778518,JOE FRANCIS HAIRCARE SCHOLARSHIP FOUNDATION
426144737,THOMAS L & MABEL GRACE JONES SCHOLARSHIP FUND
426275922,GEORGE MARSH SHEETS SCHOLARSHIP TRUST
236492070,MIRIAM WENDLE SCHOLARSHIP TR UW
113785133,BROOKSIE A PEYTON FOUNDATION
200263777,DEANA KENDRICK FOUNDATION INC
200673220,CARL ROCKWOOD SCHOLARSHIP FUND
146082789,FRANCES WEICHERT PEASLEY TRUST SCHOLARSHIP FUND
166204852,WENDY WALKER MEMORIAL SCHOLARSHIP FUND TRUST 101040075100
166250069,HELEN KELLY SCHOLARSHIP FUND
205743809,SARAH I TURNER SCHOLARSHIP AWARD TRUST
206919886,NANOVIC FAMILY MEMORIAL SCHOLARSHIPFUND
237089108,DR T F MANLEY SCHOLARSHIP FUND
236422732,WILLIAM H LUDEN SCHOLARSHIP FUND
236516993,GUY L MOSER SCHOLARSHIP FUND
236523865,H LORENS CLEMENTS SCHOLARSHIP FUND
236790141,EDWARD & HANNAH WINGARIS SCHOLARSHIP FUND AMERICAN BANK
206408218,DWIGHT & VIRGINIA DEEN SCHOEFF SCHOLARSHIP TR
237418805,JOSEPH F IMBS II SCHOLARSHIP FOUNDATION
136591417,TRUST UW ROMER C BORST FBO NANUET HIGH SCHOOL SCHOLARSHIP FUND
263893972,RAMAR SCHOLARSHIP FOUNDATION INCORPORATED
273586135,COSTA FARMS SCHOLARSHIP FOUNDATION INC
166038545,HARRISON EARL & FRANCES SMITH SCHOLARSHIP FUND NECT
320185357,KMR GROUP FOUNDATION
330245562,MARVIN BOYER MEMORIAL SCHOLARSHIP FUND
237434090,RAY & GERTRUDE M WEBB SCHOLARSHIP FUND
364663132,WESTERN SHOSHONE SCHOLARSHIP FOUNDATION
251419907,ALLENE S TRUSHEL SCHOLARSHIP TRUST
256079669,MARY ANN IRVIN SCHOLARSHIP FOUNDATION
251709602,ALTON AND MILDRED CROSS SCHOLARSHIP FUND
416045981,ANNA M KUHL SCHOLARSHIP TRUST
416556842,TERESA MANESS EDUCATIONAL FOUNDATION
256534799,BERNOSWKI SCHOLARSHIP TRUST FUND
341584377,JOHN L COHILL MEMORIAL SCHOLARSHIP FOUNDATION
341820183,JOHN S KNIGHT MEMORIAL JOURNALISM FUND CORPORATION
341966354,BHS ENDOWMENT FUND
346520257,TIMKEN COMPANY CHARITABLE & EDUCATIONAL FUND
346915071,THE DONALD EBERLY AND THELMA BOWMAN EBERLY SCHOLARSHIP FUND
351890053,MARY JEAN DEEGAN SCHOLARSHIP FUND
351938040,MARY K GARR SCHOLARSHIP FOUNDATION
352018090,BOWEN SCHOLARSHIP FUND
352113954,JOHN A & DOROTHY H GEYER SCHOLARSHIP FUND
352223045,JAMES A BLUM AND GLENICE M TREMBLIN BLUME MEMORIAL SCHOLARSHIP FUND
352321910,TAEGE FAMILY FOUNDATION INC
356017351,KUHNER SCHOLARSHIP FOUNDATION
356017466,BENJAMIN F & EMMA B SHROYER SCHOLARSHIP FUND
356051256,CLIFFORD L & DAISIE B AMBURN MEM SCHOLARSHIP FUND
356279390,LILLIAN R COLEMAN SCHOLARSHIP FUND TR UW 2835174011
356326717,MABEL S EPLER SCHOLARSHIP FUND
356415393,BOBBY BUERGER SCHOLARSHIP FUND
356433778,T W WILDERMUTH SCHOLARSHIP LOG TUW
356451715,M MAXINE PIERCE HONECKER MEMORIAL SCHOLARSHIP FUND
356527663,BERNIE H AND MARY L HUMPHREY SCHOLARSHIP FUND
356532078,LULA MAE BLAIR SCHOLARSHIP TRUST
356548300,BETTY KIRKPATRICK SCHOLARSHIP FUND
356615379,EVELYN M BARRAND AND BLANCHE E BRADFORD MEMORIAL SCHOLARSHIP FUND
363151919,BUSHNELL ARTS FOUNDATION
